comment_id,true_themes,true_tone
C00001,Inclusion & voice; Flexibility & workplace,negative
C00002,Tools & process; Pay & benefits,positive
C00003,Tools & process,negative
C00004,Tools & process; Joining & onboarding,negative
C00005,Pay & benefits; Manager relationship,negative
C00006,Recognition; Career & progression,negative
C00007,Flexibility & workplace,positive
C00008,Leadership & communication,negative
C00009,Tools & process,positive
C00010,Flexibility & workplace,negative
C00011,Workload & staffing,positive
C00012,Leadership & communication; Inclusion & voice,negative
C00013,Career & progression,positive
C00014,Joining & onboarding,negative
C00015,Workload & staffing,positive
C00016,Inclusion & voice,positive
C00017,Inclusion & voice; Leadership & communication,negative
C00018,Workload & staffing,positive
C00019,Tools & process,negative
C00020,Inclusion & voice,positive
C00021,Recognition,negative
C00022,Leadership & communication,positive
C00023,Flexibility & workplace,negative
C00024,Flexibility & workplace,negative
C00025,Joining & onboarding,positive
C00026,Leadership & communication,negative
C00027,Manager relationship; Tools & process,negative
C00028,Manager relationship,negative
C00029,Manager relationship,positive
C00030,Career & progression,negative
C00031,Flexibility & workplace; Joining & onboarding,negative
C00032,Tools & process,positive
C00033,Recognition,negative
C00034,Joining & onboarding,negative
C00035,Recognition,positive
C00036,Flexibility & workplace; Manager relationship,negative
C00037,Workload & staffing; Inclusion & voice,positive
C00038,Joining & onboarding,negative
C00039,Career & progression,negative
C00040,Recognition,negative
C00041,Manager relationship; Leadership & communication,positive
C00042,Flexibility & workplace,negative
C00043,Career & progression; Inclusion & voice,positive
C00044,Inclusion & voice; Leadership & communication,negative
C00045,Leadership & communication,positive
C00046,Tools & process,negative
C00047,Leadership & communication,positive
C00048,Manager relationship,negative
C00049,Recognition,negative
C00050,Joining & onboarding; Inclusion & voice,positive
C00051,Recognition,positive
C00052,Tools & process; Pay & benefits,negative
C00053,Career & progression,negative
C00054,Pay & benefits,negative
C00055,Manager relationship,negative
C00056,Flexibility & workplace; Career & progression,negative
C00057,Manager relationship; Recognition,positive
C00058,Tools & process,negative
C00059,Joining & onboarding,positive
C00060,Manager relationship,negative
C00061,Joining & onboarding,positive
C00062,Leadership & communication,negative
C00063,Career & progression,positive
C00064,Manager relationship,negative
C00065,Pay & benefits; Career & progression,negative
C00066,Manager relationship,positive
C00067,Leadership & communication,negative
C00068,Tools & process,positive
C00069,Joining & onboarding; Workload & staffing,negative
C00070,Pay & benefits; Career & progression,positive
C00071,Manager relationship,positive
C00072,Recognition,negative
C00073,Joining & onboarding,positive
C00074,Flexibility & workplace,positive
C00075,Flexibility & workplace,negative
C00076,Workload & staffing,positive
C00077,Flexibility & workplace; Leadership & communication,negative
C00078,Workload & staffing,positive
C00079,Pay & benefits,negative
C00080,Leadership & communication,negative
C00081,Recognition,positive
C00082,Pay & benefits,negative
C00083,Leadership & communication,negative
C00084,Joining & onboarding,negative
C00085,Manager relationship,positive
C00086,Leadership & communication,negative
C00087,Leadership & communication,positive
C00088,Career & progression,negative
C00089,Workload & staffing; Inclusion & voice,positive
C00090,Tools & process,negative
C00091,Leadership & communication,negative
C00092,Pay & benefits,negative
C00093,Flexibility & workplace,positive
C00094,Career & progression,negative
C00095,Pay & benefits,negative
C00096,Leadership & communication,negative
C00097,Pay & benefits,positive
C00098,Workload & staffing,negative
C00099,Flexibility & workplace,positive
C00100,Workload & staffing,positive
C00101,Leadership & communication,negative
C00102,Tools & process,negative
C00103,Tools & process,negative
C00104,Inclusion & voice,negative
C00105,Flexibility & workplace; Joining & onboarding,negative
C00106,Leadership & communication,positive
C00107,Tools & process,negative
C00108,Manager relationship; Leadership & communication,positive
C00109,Workload & staffing,negative
C00110,Pay & benefits,positive
C00111,Recognition; Inclusion & voice,negative
C00112,Workload & staffing,negative
C00113,Leadership & communication,positive
C00114,Inclusion & voice,negative
C00115,Joining & onboarding,negative
C00116,Manager relationship,positive
C00117,Joining & onboarding,negative
C00118,Tools & process,positive
C00119,Manager relationship,negative
C00120,Manager relationship,positive
C00121,Pay & benefits,negative
C00122,Joining & onboarding,positive
C00123,Inclusion & voice; Career & progression,negative
C00124,Flexibility & workplace; Inclusion & voice,positive
C00125,Flexibility & workplace,negative
C00126,Leadership & communication,positive
C00127,Manager relationship,negative
C00128,Career & progression,negative
C00129,Workload & staffing,positive
C00130,Inclusion & voice,negative
C00131,Inclusion & voice; Workload & staffing,positive
C00132,Inclusion & voice,negative
C00133,Leadership & communication,negative
C00134,Manager relationship; Pay & benefits,positive
C00135,Career & progression,negative
C00136,Recognition,positive
C00137,Leadership & communication,negative
C00138,Pay & benefits; Tools & process,negative
C00139,Tools & process,positive
C00140,Joining & onboarding; Manager relationship,negative
C00141,Tools & process,negative
C00142,Leadership & communication,negative
C00143,Pay & benefits; Leadership & communication,positive
C00144,Career & progression,negative
C00145,Joining & onboarding,positive
C00146,Leadership & communication,negative
C00147,Joining & onboarding,positive
C00148,Tools & process,negative
C00149,Flexibility & workplace,positive
C00150,Pay & benefits,negative
