response_id,department,country,region,gender_group,age_band,job_level,tenure_band,work_model,Belonging,Employee Voice,Psychological Safety,Fairness & Opportunity,Inclusive Leadership,inclusion_index_1_5,inclusion_index_0_100,inclusion_outcome
R00001,Operations,IN,APAC,Women,60+,Individual contributor,1-2 years,Onsite,3.667,4.667,3.333,2.667,4.0,3.667,66.7,3.667
R00003,Operations,IN,APAC,Women,30-39,Individual contributor,1-2 years,Onsite,4.0,3.0,1.667,4.0,2.667,3.067,51.7,2.333
R00004,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Hybrid,5.0,4.333,3.333,3.667,3.0,3.867,71.7,3.667
R00005,Operations,IN,APAC,Men,50-59,Individual contributor,10 years +,Onsite,4.333,2.667,3.333,3.667,2.333,3.267,56.7,4.0
R00006,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,3.333,4.0,3.667,2.333,2.667,3.2,55.0,2.667
R00007,Operations,IN,APAC,Women,30-39,Individual contributor,< 1 year,Onsite,3.333,4.333,1.0,3.333,4.333,3.267,56.7,4.333
R00008,Operations,IN,APAC,Women,40-49,Team lead,10 years +,Onsite,4.0,4.0,2.667,3.0,3.667,3.467,61.7,3.667
R00010,Operations,IN,APAC,Men,60+,Individual contributor,10 years +,Onsite,4.333,3.333,3.333,3.0,4.333,3.667,66.7,3.667
R00011,Operations,IN,APAC,Men,40-49,Individual contributor,6-10 years,Onsite,3.0,2.333,2.333,2.333,4.667,2.933,48.3,2.667
R00012,Operations,IN,APAC,Women,30-39,Individual contributor,< 1 year,Onsite,4.0,4.0,4.0,3.333,3.0,3.667,66.7,3.333
R00013,Operations,IN,APAC,Women,30-39,Individual contributor,3-5 years,Onsite,4.333,4.333,3.333,2.667,3.667,3.667,66.7,4.333
R00015,Operations,IN,APAC,Women,40-49,Individual contributor,1-2 years,Hybrid,3.333,2.667,4.0,3.0,4.333,3.467,61.7,4.333
