segment_type,segment,n,inclusion_index,gap_vs_company
region,APAC,893,67.1,-1.2
region,North America,965,68.1,-0.2
region,EMEA,983,69.6,1.3
gender_group,Women,1349,67.6,-0.7
gender_group,Men,1354,69.2,0.9
gender_group,Non-binary / self-described,138,65.7,-2.6
age_band,60+,180,67.0,-1.3
age_band,30-39,882,68.4,0.1
age_band,40-49,731,69.4,1.2
age_band,50-59,440,68.8,0.5
age_band,18-29,608,66.7,-1.6
department,Operations,762,63.9,-4.4
department,Customer Service,680,68.9,0.6
department,Commercial,417,66.7,-1.5
department,Technology,404,71.1,2.9
department,Finance & Legal,283,71.6,3.4
department,People & Workplace,295,73.2,5.0
job_level,Individual contributor,2025,66.6,-1.6
job_level,Team lead,492,70.2,2.0
job_level,Manager,254,74.9,6.6
job_level,Senior leader,70,77.6,9.4
tenure_band,1-2 years,689,69.3,1.0
tenure_band,3-5 years,766,66.5,-1.7
tenure_band,10 years +,323,67.6,-0.7
tenure_band,< 1 year,524,72.9,4.7
tenure_band,6-10 years,539,65.3,-3.0
work_model,Onsite,1796,67.6,-0.7
work_model,Hybrid,751,69.6,1.4
work_model,Remote,294,68.8,0.5
