response_id,team_id,department,country,region,gender_group,age_band,job_level,tenure_band,work_model,shift_worker,responded,submitted_date,enps,bel_01,bel_02,bel_03,voi_01,voi_02,voi_03,psy_01,psy_02,psy_03,fair_01,fair_02,fair_03,ldr_01,ldr_02,ldr_03,inc_out_01,inc_out_02,inc_out_03
R00001,T001,Operations,IN,APAC,Women,60+,Individual contributor,1-2 years,Onsite,0,1,2026-05-09,6,4,4,3,5,5,4,4,2,4,2,3,3,3,5,4,3,3,5
R00002,T001,Operations,IN,APAC,Women,18-29,Individual contributor,1-2 years,Remote,0,0,,,,,,,,,,,,,,,,,,,,
R00003,T001,Operations,IN,APAC,Women,30-39,Individual contributor,1-2 years,Onsite,0,1,2026-05-19,6,4,4,4,3,3,3,2,1,2,5,3,4,3,3,2,2,3,2
R00004,T001,Operations,IN,APAC,Men,40-49,Individual contributor,3-5 years,Hybrid,0,1,2026-05-06,8,5,5,5,4,4,5,4,3,3,5,3,3,3,3,3,3,4,4
R00005,T001,Operations,IN,APAC,Men,50-59,Individual contributor,10 years +,Onsite,0,1,2026-05-06,8,5,4,4,3,3,2,3,3,4,3,4,4,2,2,3,4,4,4
R00006,T001,Operations,IN,APAC,Women,18-29,Individual contributor,3-5 years,Onsite,1,1,2026-05-21,5,4,3,3,4,4,4,4,3,4,2,3,2,3,3,2,3,3,2
R00007,T001,Operations,IN,APAC,Women,30-39,Individual contributor,< 1 year,Onsite,1,1,2026-05-04,9,3,4,3,5,4,4,1,1,1,2,4,4,4,4,5,4,4,5
R00008,T001,Operations,IN,APAC,Women,40-49,Team lead,10 years +,Onsite,0,1,2026-05-11,9,4,4,4,4,4,4,2,3,3,2,3,4,4,4,3,4,3,4
R00009,T001,Operations,IN,APAC,Men,30-39,Individual contributor,6-10 years,Onsite,1,0,,,,,,,,,,,,,,,,,,,,
R00010,T001,Operations,IN,APAC,Men,60+,Individual contributor,10 years +,Onsite,0,1,2026-05-20,8,5,4,4,4,3,3,4,3,3,2,3,4,4,5,4,4,4,3
