team_id,team_name,department,country,manager_id,manager_tenure_months,team_size
T001,Operations IN 001,Operations,IN,M001,25,20
T002,Operations IN 002,Operations,IN,M002,19,21
T003,Operations IN 003,Operations,IN,M003,5,11
T004,Operations US 004,Operations,US,M004,17,17
T005,Operations IN 005,Operations,IN,M005,6,52
T006,Operations DE 006,Operations,DE,M006,28,13
T007,Operations DE 007,Operations,DE,M007,3,30
T008,Operations US 008,Operations,US,M008,28,16
T009,Operations DE 009,Operations,DE,M009,10,24
T010,Operations PL 010,Operations,PL,M010,12,28
T011,Operations IN 011,Operations,IN,M011,6,53
T012,Operations IN 012,Operations,IN,M012,27,25
T013,Operations DE 013,Operations,DE,M013,28,42
T014,Operations US 014,Operations,US,M014,34,24
T015,Operations US 015,Operations,US,M015,53,10
T016,Operations DE 016,Operations,DE,M016,20,18
T017,Operations IN 017,Operations,IN,M017,6,15
T018,Operations DE 018,Operations,DE,M018,19,17
T019,Operations CA 019,Operations,CA,M019,11,27
T020,Operations DE 020,Operations,DE,M020,6,22
T021,Operations SG 021,Operations,SG,M021,28,15
T022,Operations IN 022,Operations,IN,M022,27,18
T023,Operations US 023,Operations,US,M023,35,49
T024,Operations CA 024,Operations,CA,M024,49,10
T025,Operations DE 025,Operations,DE,M025,3,22
T026,Operations SG 026,Operations,SG,M026,3,11
T027,Operations IN 027,Operations,IN,M027,2,4
T028,Operations US 028,Operations,US,M028,14,42
T029,Operations IN 029,Operations,IN,M029,20,21
T030,Operations IN 030,Operations,IN,M030,11,25
T031,Operations IN 031,Operations,IN,M031,24,39
T032,Operations PL 032,Operations,PL,M032,117,14
T033,Operations US 033,Operations,US,M033,7,42
T034,Operations PL 034,Operations,PL,M034,9,36
T035,Operations CA 035,Operations,CA,M035,53,38
T036,Operations SG 036,Operations,SG,M036,2,35
T037,Operations DE 037,Operations,DE,M037,96,8
T038,Operations CA 038,Operations,CA,M038,15,23
T039,Operations SG 039,Operations,SG,M039,31,17
T040,Operations US 040,Operations,US,M040,50,44
T041,Operations US 041,Operations,US,M041,43,12
T042,Operations IN 042,Operations,IN,M042,50,24
T043,Operations DE 043,Operations,DE,M043,40,51
T044,Operations IN 044,Operations,IN,M044,51,15
T045,Operations US 045,Operations,US,M045,14,14
T046,Operations IN 046,Operations,IN,M046,33,27
T047,Operations CA 047,Operations,CA,M047,54,26
T048,Operations DE 048,Operations,DE,M048,28,11
T049,Customer PL 049,Customer Service,PL,M049,15,18
T050,Customer PL 050,Customer Service,PL,M050,76,24
T051,Customer PL 051,Customer Service,PL,M051,19,25
T052,Customer IN 052,Customer Service,IN,M052,21,15
T053,Customer PL 053,Customer Service,PL,M053,26,34
T054,Customer IN 054,Customer Service,IN,M054,11,37
T055,Customer PL 055,Customer Service,PL,M055,75,36
T056,Customer US 056,Customer Service,US,M056,37,23
T057,Customer PL 057,Customer Service,PL,M057,38,24
T058,Customer CA 058,Customer Service,CA,M058,88,42
T059,Customer IN 059,Customer Service,IN,M059,4,40
T060,Customer IN 060,Customer Service,IN,M060,70,17
T061,Customer US 061,Customer Service,US,M061,66,15
T062,Customer SG 062,Customer Service,SG,M062,22,51
T063,Customer US 063,Customer Service,US,M063,23,55
T064,Customer SG 064,Customer Service,SG,M064,2,20
T065,Customer PL 065,Customer Service,PL,M065,31,27
T066,Customer IN 066,Customer Service,IN,M066,108,26
T067,Customer DE 067,Customer Service,DE,M067,11,13
T068,Customer PL 068,Customer Service,PL,M068,10,14
T069,Customer CA 069,Customer Service,CA,M069,4,14
T070,Customer US 070,Customer Service,US,M070,85,10
T071,Customer US 071,Customer Service,US,M071,4,30
